medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
34346632EF1C766560C2A2268B85E0C7,14AC02F77BBAEAE8D2B6D7DD5CF591EE,VTS,1,,2013-09-09 08:31:00,2013-09-09 08:43:00,2,720,2.03,-73.959137,40.783352,-73.979042,40.760128
7F3AE0D21D3846759CA20FAAD7BC5F5B,0A39D46AEDC29906B0CBC94F78B3C6C8,VTS,1,,2013-09-07 21:31:00,2013-09-07 21:40:00,5,540,1.13,-73.919128,40.704235,-73.909996,40.710976
D621051CFE9107B110936E45AC034F07,E996279EEDE31EF8CDE8AA0F1C2786A2,VTS,1,,2013-09-09 07:07:00,2013-09-09 07:18:00,1,660,2.14,-73.928452,40.864971,-73.938438,40.837891
69ED9B170A650C30432614CA70777B3E,502FFF267B287E6AA840D530E3ABC936,VTS,1,,2013-09-08 16:07:00,2013-09-08 16:28:00,6,1260,3.88,-73.940338,40.710873,-73.984566,40.728683
FCD0EEBF13F6FEADE22E0B3133928C4A,D18EAC5D5E343B285CA60013D2B14503,VTS,1,,2013-09-09 07:32:00,2013-09-09 07:39:00,1,420,1.08,-74.008156,40.737991,-73.991585,40.735176
35FA9FA64F220A91237F69304F007F1B,86A0B5CA6B8A48DF19FD6518C81AAE23,VTS,1,,2013-09-09 05:44:00,2013-09-09 05:49:00,5,300,1.88,-73.990166,40.756741,-73.970642,40.761921
94E1982CFB4153A2359F30D49EAC99DE,5CAC0315CB4F89D21BB0E4EB09B8A150,VTS,1,,2013-09-09 07:17:00,2013-09-09 07:18:00,3,60,.71,-73.964119,40.756786,-73.958054,40.765125
DC54B1BB684228722786DC57668A0FCF,81B306953D11E5895E40853E81687CD6,VTS,1,,2013-09-09 08:24:00,2013-09-09 08:28:00,1,240,.81,-73.988548,40.748928,-73.979355,40.746239
3D72CA60EAF5E53676276CA3B0DD43D1,857412C3358CA1560097317F4DFA3A9F,VTS,2,,2013-09-09 04:41:00,2013-09-09 05:05:00,1,1440,20.52,-73.963112,40.758232,-73.782372,40.64875
76EF61D8B2137BEBA8815A07F4FAB418,75B87ABCAC8E8680C5B67BC321B07F40,VTS,1,,2013-09-09 01:51:00,2013-09-09 01:59:00,1,480,2.88,-74.002922,40.733311,-73.985672,40.697868
5EBA6CF0CE86BD93CF958D322D89B15E,3B8653DBA87910C7A21E70729D5CBAE9,VTS,1,,2013-09-13 06:39:00,2013-09-13 06:58:00,1,1140,3.70,-73.951241,40.778751,-73.991402,40.750336
A42487000E5D56414E028EE0252D45CE,91C6F73A67B4AE63F03F78FE5A95E4A6,VTS,1,,2013-09-09 00:27:00,2013-09-09 00:29:00,2,120,.54,-73.972961,40.752831,-73.968391,40.759178
A56F5B8AC16B2B3A1B43938168AD4058,4730133940936109005C808BA72A3AD2,VTS,1,,2013-09-13 06:56:00,2013-09-13 07:09:00,1,780,2.50,-73.961159,40.757111,-73.993118,40.749306
3ADE416E451A89027EA30C3B1DB33927,1C4724F3B307C59C161FDBCC948F7DCC,VTS,1,,2013-09-09 06:37:00,2013-09-09 06:51:00,2,840,3.48,-73.951416,40.769981,-73.991508,40.751209
8E171D5017F55FBFDAF1D087903A6CC7,9360C83C76DB49D40441817D05B779F0,VTS,1,,2013-09-09 07:50:00,2013-09-09 08:01:00,2,660,1.96,-74.00853,40.719883,-73.986427,40.734394
9F733CA42993C847C8643DFB21E5AC20,051A44EC429CFCB1FE752CA00871CC68,VTS,1,,2013-09-09 00:59:00,2013-09-09 01:06:00,1,420,2.06,-73.987946,40.745838,-73.969673,40.766228
FF2C42685FE5822F7A6DE63D32ED8193,AE4DA1B5B259AB89484B3FACAB79E148,VTS,1,,2013-09-09 08:19:00,2013-09-09 08:23:00,2,240,.87,-74.00634,40.733212,-74.006218,40.723526
FCFEDD244F96A2A7C138AAD8CFF7858C,0743CC94E93FE162F78820C324E9BA0E,VTS,1,,2013-09-09 08:10:00,2013-09-09 08:16:00,1,360,1.29,-74.006165,40.716923,-74.007431,40.733376
4A15E823A8D4B398CFC16683EBD6956B,EAADE8138C418D622C0A588CB93CE232,VTS,1,,2013-09-09 04:39:00,2013-09-09 04:47:00,1,480,.96,-73.98941,40.77306,-73.980545,40.765114
3276BA3E591735A10DA07858F8CA920F,58ED950A0FC2967819D3E2211B871A00,VTS,1,,2013-09-09 07:51:00,2013-09-09 08:00:00,2,540,1.30,-73.945061,40.778812,-73.955498,40.762558
0836A7E37C5477AA1D8F213A7856AD9B,08161D6E1711CEE3FD2175B864F119ED,VTS,1,,2013-09-09 07:14:00,2013-09-09 07:23:00,1,540,2.06,-73.994453,40.750706,-73.988853,40.774071
E386E50F9EEBCEBEE86F38962FF09E56,D58309D8711C5C20F2131E74C11F04F1,VTS,1,,2013-09-09 05:36:00,2013-09-09 05:37:00,1,60,.37,-73.99778,40.746338,-73.99498,40.750141
A3CBBAF911A9C6276DB6BB874F192D72,68661C4120D87EFD27FBD5871A094136,VTS,1,,2013-09-09 08:21:00,2013-09-09 08:39:00,1,1080,2.10,-73.970963,40.758278,-73.954498,40.783726
83E581546971D26ABE2DB52B7AE60BC0,FB23024E622A19229336C3F4E2DEE60E,VTS,1,,2013-09-09 06:18:00,2013-09-09 06:25:00,1,420,2.47,-73.96479,40.775414,-73.99588,40.769093
A84D61ED59AE951C6F9ED131F7A1A362,8610394BBEE5E28DB39E66F41F018E96,VTS,1,,2013-09-09 05:57:00,2013-09-09 06:02:00,1,300,1.00,-73.976967,40.752243,-73.986038,40.747719
402C4787A75C94AD08745DCA8DE9014A,3E60819950ED494DC10F85B73F8601CE,VTS,1,,2013-09-09 03:41:00,2013-09-09 04:02:00,2,1260,5.94,-73.983589,40.726078,-73.947906,40.692608
433FE01DBA21B754449E4D3A42F0542A,127C33557D74CE993206D6C88628BFB1,VTS,1,,2013-09-09 05:36:00,2013-09-09 05:43:00,1,420,3.18,-73.951691,40.78466,-73.983002,40.750221
9947A87931263EBE0D9F476F01929C3B,2EC1844CE4CC319EE2D97B7E09AD1B0D,VTS,1,,2013-09-09 07:55:00,2013-09-09 08:02:00,1,420,1.23,-73.961052,40.769341,-73.957367,40.783001
E9DAEC43BCCBD47B75C0E1DD854EF9E3,B010CE0BB1F3E5ECCBCFBBD5038422CA,VTS,1,,2013-09-13 08:06:00,2013-09-13 08:15:00,5,540,1.56,-73.959679,40.773582,-73.975319,40.755733
E30604C525F236FB475249FFAC5AF95A,3BF38FF50D6DB3774E9ECD4F45465199,VTS,1,,2013-09-09 06:02:00,2013-09-09 06:14:00,1,720,2.88,-73.974556,40.790543,-73.982826,40.754436
21B98CAC5B31414B9446D381D38EEC7F,39C68074F40525E67E6328A533836A90,VTS,1,,2013-09-13 07:48:00,2013-09-13 08:04:00,1,960,9.58,-73.988724,40.722313,-73.871223,40.774048
88521AEE484C2C9B6B53885302435762,5714B36622CBBF31302F459B9CAA16D8,VTS,1,,2013-09-09 05:26:00,2013-09-09 05:28:00,1,120,.67,-73.97702,40.764988,-73.969147,40.759941
CB3CB29937460506B59A5359D8E30BB1,2F40BE0DA05DCD70BC04772A4A9380EF,VTS,5,,2013-09-09 05:14:00,2013-09-09 05:36:00,4,1320,7.78,-73.995941,40.755081,-74.0373,40.757614
C157FB07EA754353A47BFFEF03A6941D,0269D1857095AA06E7A53F74B2B0D060,VTS,1,,2013-09-13 08:01:00,2013-09-13 08:07:00,1,360,.88,-73.983978,40.765106,-73.971367,40.762096
441BFF97D3EF323315131424FAFC5A9A,2E148F405511E00E2638AAEF89883E14,VTS,1,,2013-09-09 09:21:00,2013-09-09 09:27:00,1,360,.85,-73.983788,40.761368,-73.972862,40.754692
150A921B07577B6CC88C03FEFCD28EF4,62628ECD749013D7C0C2059952049B75,VTS,1,,2013-09-09 08:07:00,2013-09-09 08:17:00,1,600,1.73,-73.965073,40.763527,-73.952225,40.768993
8E6F931A70CFB1C730F14E7AFEFFDE45,D94F0B49E65B6D963CAEF5293D26856C,VTS,1,,2013-09-09 08:08:00,2013-09-09 08:19:00,2,660,2.40,-73.979034,40.782356,-73.980362,40.760174
A9E22F4F0B915490024152E22B2BE2C6,B35345954A9674BF1B07E2E07CB90FEC,VTS,1,,2013-09-09 06:12:00,2013-09-09 06:20:00,5,480,1.54,-73.997528,40.724144,-74.016136,40.715527
A5AF8E393F9038D249CE6E03787F0E2A,CB87C0FF2ADD5953FC8D348FEBBC6037,VTS,2,,2013-09-09 08:08:00,2013-09-09 09:17:00,5,4140,18.80,-73.783035,40.644398,-74.000648,40.727428
E11C4A44AB43931839290A60442034EA,202310EBAA2BA11A532BBC9655626D5C,VTS,1,,2013-09-09 06:44:00,2013-09-09 06:47:00,1,180,.76,-74.00132,40.722656,-74.001305,40.731297
7B39B375AB1DD2665859F4893805F0ED,C9AE88CAA22ABA984AFBD9847C5F9695,VTS,1,,2013-09-09 09:37:00,2013-09-09 09:50:00,1,780,1.30,-73.991791,40.749008,-73.984573,40.764236
E9810A32F0E149A78AA6C1F3BF6A4BD5,7C8F43A99134C65E1A6108632923ED2E,VTS,1,,2013-09-09 09:39:00,2013-09-09 09:52:00,2,780,1.57,-73.993729,40.751797,-73.974396,40.758659
DA93324D79ACA5082945EAB57920BCEB,519502A8CC6386B2203DA6E75057B85C,VTS,1,,2013-09-09 07:58:00,2013-09-09 08:57:00,1,3540,14.46,-73.865334,40.770344,-73.983711,40.762196
E5044EC4A438E0715E1C21590BC3EFF7,FEC1F70C79558C6CBB961CF652551C02,VTS,1,,2013-09-09 10:01:00,2013-09-09 10:11:00,1,600,1.37,-73.999359,40.722412,-74.007545,40.707241
255A42BD2F141F714826C2E15521B552,08EE60DDC4B2ED202FBF8CACA025FAC0,VTS,1,,2013-09-09 09:25:00,2013-09-09 09:29:00,1,240,.63,-73.975327,40.755188,-73.969872,40.762356
BFBE5007C3D6DE220018DFB4F965944E,DDB00744E44C2D17071535A5DD1D9C09,VTS,1,,2013-09-09 08:53:00,2013-09-09 08:57:00,2,240,.45,-73.965248,40.763611,-73.97052,40.764027
0C4726D4E2AF94BF8FE2D23EFDA20917,DF97B5709C24E687D6703A196BA68102,VTS,1,,2013-09-09 08:23:00,2013-09-09 08:57:00,1,2040,3.94,-73.949944,40.784458,-73.991913,40.759415
3F28C8A6D7D660D90AD99C7A49AFEC89,1D2C9E37A211B2272E52114AC4AE7D35,VTS,1,,2013-09-09 05:53:00,2013-09-09 06:19:00,1,1560,10.71,-74.003845,40.752998,-73.861214,40.767975
4534437D4962BC4A0CEEAB842028F005,7B6A6E64039879477425F7EFCAE5D450,VTS,1,,2013-09-09 09:19:00,2013-09-09 09:33:00,1,840,1.31,-74.002403,40.72654,-74.013603,40.715271
859770DADF8F269CC577F806E4266E6D,B297B763C5BBE355C0B191B2FA70368D,VTS,1,,2013-09-09 09:30:00,2013-09-09 09:34:00,1,240,.88,-73.965912,40.753746,-73.958694,40.76395
B3B4192518E7D18AE1026A535B10C3CD,AFC04AABF4ACEC04A2B95D8CD3C5D03F,VTS,1,,2013-09-09 04:09:00,2013-09-09 04:25:00,1,960,7.66,-73.994064,40.736317,-73.923531,40.807796
83DE5B617622C30946701EB77A23D721,796DED0B42CFF5FBF572C8EBD4D25A6B,VTS,1,,2013-09-09 10:09:00,2013-09-09 10:24:00,3,900,1.39,-73.96524,40.756084,-73.983025,40.750393
B73FA282721DC087BBF8AB6C4D79B81D,9A798503DC9B8E2A46CF0A1061FF9C93,VTS,1,,2013-09-09 10:09:00,2013-09-09 10:23:00,2,840,2.92,-73.96785,40.792248,-73.980789,40.760548
EB1AA964B5735CC09BF9CD44A25DF500,B8A8E241DE0E5958133EBF253DAF94F5,VTS,1,,2013-09-09 08:59:00,2013-09-09 09:17:00,6,1080,2.36,-73.96312,40.758244,-73.974388,40.762535
286EFDDA8BBA68C505EC71E0659D598A,F9682A19585F77EA4866D8C8AF258787,VTS,1,,2013-09-09 09:01:00,2013-09-09 09:37:00,5,2160,12.50,-74.001877,40.7304,-73.872307,40.774483
1CC0E8A690E81466E6073C0C06336FE9,81E1223284C6C47E85012426E97C2396,VTS,1,,2013-09-13 08:08:00,2013-09-13 08:12:00,1,240,.56,-73.963432,40.774624,-73.956413,40.776505
7F9032CC3128F8DFE2536CF6EEA52EC8,0B841C417CA2A62328B93F17B8D5A56D,VTS,1,,2013-09-13 08:09:00,2013-09-13 08:17:00,1,480,1.28,-73.979874,40.767159,-73.975899,40.754944
2886A4D0E61E8FAD6604A02A50F1A318,C10B10DFF647545CA88B0FFECA52E377,VTS,1,,2013-09-13 09:01:00,2013-09-13 09:06:00,1,300,.75,-73.970024,40.784344,-73.974098,40.791439
DE39A9417CFA16FFCDDBD9942F7FBBEF,E2B42CD333240F199CFEB4B83CDD5D33,VTS,1,,2013-09-09 04:00:00,2013-09-09 04:14:00,1,840,2.92,-73.983185,40.695641,-74.010735,40.676868
0C2FECEC3E19E28FECC48FED7B3A4B44,3B180638B6CC91094ADB1113A24D4124,VTS,1,,2013-09-13 08:48:00,2013-09-13 08:54:00,1,360,.95,-73.978813,40.744709,-73.991104,40.744019
F4BB93A9C7E2E0A47D87B648EB3FE26E,C8A058B098CD48278DE2374234BEB1A6,VTS,1,,2013-09-09 09:28:00,2013-09-09 09:38:00,1,600,3.23,-74.0159,40.715332,-74.004059,40.756618
F336B7BA8506D6FA12FF8F266282EFD0,B9D3C8A665791430FBD78D7E87D6BB0C,VTS,1,,2013-09-09 09:21:00,2013-09-09 09:38:00,1,1020,2.99,-73.954079,40.77853,-73.979759,40.765995
160248D54674DD1633EC5CE7896215E8,D78177A9A3F8869A8E5CFF6E137F0B0E,VTS,1,,2013-09-09 06:34:00,2013-09-09 06:40:00,5,360,1.58,-73.990227,40.732594,-73.982361,40.75177
BCEB2F048FCA6F2DB11E275E6B892E15,058F2A84BCDAA57DBCC033F2F8A2F007,VTS,1,,2013-09-09 09:54:00,2013-09-09 10:08:00,1,840,2.14,-73.988274,40.736347,-74.008461,40.720016
7E3BF2C5869112F3997C2B790E4894FD,A14DD735D747D59DB954654123750965,VTS,1,,2013-09-13 08:11:00,2013-09-13 08:20:00,1,540,1.02,-73.98671,40.758156,-73.979866,40.752419
0B24B84044C6BD495B9B9C704BE18FFF,62B915D21A6600F07E45C47458CA0DB4,VTS,1,,2013-09-09 09:24:00,2013-09-09 09:33:00,1,540,.90,-74.010078,40.720993,-74.010078,40.720993
C3DF175374EA2E41AFC6F145B287E9D4,EE4745B31528FC350848351B0E25B65D,VTS,1,,2013-09-09 09:34:00,2013-09-09 09:39:00,1,300,.75,-73.977776,40.754509,-73.977127,40.762653
7B0FCDFF4DC4D7E6379CD6595C024F1D,D92C501D8573517CCAE8E353C71DBABD,VTS,1,,2013-09-09 04:11:00,2013-09-09 04:21:00,1,600,2.41,-74.004845,40.715977,-74.003807,40.742538
C688A7976AD481CD0760EE44A123EB8F,DD5D1D76AFBC8AD4668D67668C6F72B5,VTS,1,,2013-09-09 08:04:00,2013-09-09 08:29:00,4,1500,3.32,-73.99279,40.758263,-73.955147,40.764896
CA6726FC70C64C7F0348C7ABA453F6C4,04BFC194405B0E7F8A23F1FDA917CB47,VTS,2,,2013-09-13 07:56:00,2013-09-13 09:07:00,1,4260,17.89,-73.782684,40.644444,-73.99379,40.758125
03A8081017EE702DA6494085566665DA,1B036F1C43B64C74B348676569368202,VTS,1,,2013-09-09 08:32:00,2013-09-09 08:43:00,6,660,1.75,-73.97583,40.744976,-73.990036,40.757511
86F86FCD69CBCE7C4F539A93BCEE5FC4,1C41BAF22309BFB9BBF678E543E856F4,VTS,1,,2013-09-13 09:26:00,2013-09-13 09:31:00,6,300,.48,-73.975327,40.757729,-73.991302,40.744976
A9BCDB5EC8DCB3FCE9249AF65120F375,6775844BFDB1B0FE11B737246130890A,VTS,1,,2013-09-13 09:30:00,2013-09-13 09:31:00,1,60,.05,-73.952332,40.741688,-73.952904,40.741718
5254969FC7ED450727F8AACD94CAB71E,46DEEA89609EB1855D14FEE9D1FBED07,VTS,1,,2013-09-09 10:32:00,2013-09-09 10:41:00,1,540,1.48,-73.94558,40.778259,-73.963547,40.775978
ACBED2EC7C4E0B57925ECEF3C7B2CE5F,0BF04B415C2D16DD7B6A22286CF94220,VTS,1,,2013-09-09 11:16:00,2013-09-09 11:25:00,5,540,4.25,-73.97863,40.736675,-74.014282,40.704361
036DA9B994361837ADE3FFAD56538D28,F9834B9215FBE6430ACA7B1868AE0165,VTS,1,,2013-09-13 08:25:00,2013-09-13 08:28:00,5,180,.47,-73.961662,40.771301,-73.964638,40.765663
DFDC1732ED3D7B5407097481E80E8EFA,69E88CE4AADE245AF6DB26DD3A111655,VTS,1,,2013-09-13 09:29:00,2013-09-13 09:33:00,1,240,.66,-73.992416,40.728668,-73.998215,40.733936
2905ABD21DF99EA5B9741EA063266632,988054EE90E781D8E2428F8000C6ADB2,VTS,1,,2013-09-09 08:15:00,2013-09-09 08:19:00,1,240,.76,-73.960991,40.770039,-73.968597,40.761803
535778600872FEAD02AC641D08CE4540,4731DF91E635AD145E7E5E766BF29A26,VTS,1,,2013-09-13 08:49:00,2013-09-13 09:13:00,6,1440,4.95,-73.989998,40.756565,-74.014786,40.704529
ABC7308241D26C44B33B12283DDC07A3,B543458BB6A48BC78CC1A24865C67FEF,VTS,1,,2013-09-09 10:09:00,2013-09-09 10:16:00,1,420,1.08,-74.004333,40.73885,-74.007339,40.727196
9338F1F10B082879EE4BFA111A29673F,80BD2F36709C5DBE4606CCABAD8B2D4E,VTS,1,,2013-09-09 10:30:00,2013-09-09 10:32:00,1,120,.55,-73.990852,40.7397,-73.994835,40.734276
A89CFF4DF7463F62A14E261A026A4C93,1A197C9D951E1764965D15778970CADD,VTS,1,,2013-09-09 11:28:00,2013-09-09 11:34:00,1,360,.96,-74.001663,40.715313,-73.958435,40.780731
16326D298914D52CC59BA0089D0E41C7,EE7DC181B0BA33C33AC8B61821EDEBE2,VTS,1,,2013-09-09 11:28:00,2013-09-09 11:56:00,2,1680,2.73,-73.991455,40.750065,-73.961708,40.759678
30F1FD16CF979D5DF95162E0A414B424,ABBFF82CBA3728394BA71FEE7567EC1A,VTS,1,,2013-09-09 09:47:00,2013-09-09 10:09:00,5,1320,3.03,-73.994308,40.75135,-74.010445,40.714554
F3F85F66A0CB41DBF3386621C35F7030,723984BCDEFC1C46645A3C1808771E89,VTS,1,,2013-09-09 09:28:00,2013-09-09 09:45:00,1,1020,1.11,-73.976669,40.738522,-73.97599,40.751293
23E5F1FDC96168E865BF7B4427C0163B,CBA8C5F35650EE42D5D4A3B6D95D06FB,VTS,1,,2013-09-09 06:21:00,2013-09-09 06:26:00,1,300,.71,-73.98616,40.748371,-73.978523,40.751179
14A45A1EAE619E175194F14EA4E65AC2,8E5081A595E6A29F2172BB847B6EF7FF,VTS,1,,2013-09-09 10:38:00,2013-09-09 11:04:00,1,1560,3.33,-73.992134,40.754593,-73.957764,40.777878
DD8AAF91EB77C551509C3430A6B67526,676BC3464C5238DCCB33E719A5759ED4,VTS,1,,2013-09-13 09:45:00,2013-09-13 09:49:00,5,240,.59,-73.999725,40.733459,-74.006851,40.730259
06808F2B069EBFA72B16977B7C4672C4,83A191A8D938254A3BB1E0532DE7085E,VTS,2,,2013-09-13 09:19:00,2013-09-13 09:48:00,1,1740,17.81,-73.990074,40.714848,-73.776291,40.645733
A0B046BF91F9EA4A6C57ED521F902916,B831C50689380D1AC97B0EE4846C6A04,VTS,1,,2013-09-09 12:23:00,2013-09-09 12:31:00,1,480,1.37,-74.003349,40.727077,-74.006058,40.741291
C5B775E3447AE3938CECC185FD9D24E3,5A79C9AD327CACC06B55C518AA726653,VTS,1,,2013-09-09 11:55:00,2013-09-09 12:09:00,1,840,1.37,-73.968178,40.762516,-73.985153,40.758018
6D9C2E4EAC8F6A5C7D3102177BC42C03,BF127D3A46D17FBD5463FEAE032D1F6F,VTS,1,,2013-09-09 11:01:00,2013-09-09 11:10:00,6,540,1.54,-73.997368,40.740791,-74.006943,40.726582
A15C0415581131C681135C48949A0783,5E8D00B605F0AA847893A0951E87613B,VTS,1,,2013-09-09 10:58:00,2013-09-09 11:10:00,5,720,2.99,-73.99617,40.686508,-74.010231,40.709591
164482F3E96F45609955E6C64CD03727,8265959D20C39CC37AA9AD00FE66571C,VTS,1,,2013-09-09 10:31:00,2013-09-09 10:35:00,1,240,.06,-73.951218,40.782566,-73.945198,40.788342
7FB70F83E2C7A088F04069C8FD48D8EC,A30AF684B1241B2CE847062ACE68DFAC,VTS,1,,2013-09-13 08:48:00,2013-09-13 09:16:00,1,1680,4.31,-73.961304,40.810223,-73.980881,40.761108
8AC3BD56C4BBE09B58D0E225F62F3F9D,73A5124DD76251D77FF23141274509EC,VTS,1,,2013-09-09 12:24:00,2013-09-09 12:28:00,5,240,.51,-73.987717,40.750443,-73.98317,40.755997
78C1CABB85CA9181D27FEBC68960037C,9AF8E427A56850F92103F0D469B7A3C1,VTS,1,,2013-09-09 11:35:00,2013-09-09 11:38:00,5,180,.90,-73.982277,40.751038,-73.981033,40.759232
0CEBE42EAF42C338052FAE8D61612C58,0AB3CA812B15B17757DA4BDDAE6233C7,VTS,1,,2013-09-09 12:21:00,2013-09-09 12:23:00,1,120,.39,-73.984558,40.745457,-73.987251,40.748875
D6A7314B5ABA9134A180A7E7BDA0BEE7,241CEE1A711DCD92AEEBA2767F2C0262,VTS,1,,2013-09-13 09:50:00,2013-09-13 10:02:00,1,720,1.65,-73.953697,40.782124,-73.969696,40.764538
07D9B361B73F6880460BB19E4FC76E32,FAC5CB2BA317DB206DDD8DED5122298F,VTS,1,,2013-09-13 09:37:00,2013-09-13 10:03:00,1,1560,4.58,-73.987343,40.768639,-74.008797,40.714516
